# opcodes_cb: Z80 CBxx opcodes - 256

0x00="RLC B"                       t="8"
0x01="RLC C"                       t="8"
0x02="RLC D"                       t="8"
0x03="RLC E"                       t="8"
0x04="RLC H"                       t="8"
0x05="RLC L"                       t="8"
0x06="RLC (HL)"                    t="15"   rd="8"   wr="12"
0x07="RLC A"                       t="8"
0x08="RRC B"                       t="8"
0x09="RRC C"                       t="8"
0x0a="RRC D"                       t="8"
0x0b="RRC E"                       t="8"
0x0c="RRC H"                       t="8"
0x0d="RRC L"                       t="8"
0x0e="RRC (HL)"                    t="15"   rd="8"   wr="12"
0x0f="RRC A"                       t="8"
0x10="RL B"                        t="8"
0x11="RL C"                        t="8"
0x12="RL D"                        t="8"
0x13="RL E"                        t="8"
0x14="RL H"                        t="8"
0x15="RL L"                        t="8"
0x16="RL (HL)"                     t="15"   rd="8"   wr="12"
0x17="RL A"                        t="8"
0x18="RR B"                        t="8"
0x19="RR C"                        t="8"
0x1a="RR D"                        t="8"
0x1b="RR E"                        t="8"
0x1c="RR H"                        t="8"
0x1d="RR L"                        t="8"
0x1e="RR (HL)"                     t="15"   rd="8"   wr="12"
0x1f="RR A"                        t="8"
0x20="SLA B"                       t="8"
0x21="SLA C"                       t="8"
0x22="SLA D"                       t="8"
0x23="SLA E"                       t="8"
0x24="SLA H"                       t="8"
0x25="SLA L"                       t="8"
0x26="SLA (HL)"                    t="15"   rd="8"   wr="12"
0x27="SLA A"                       t="8"
0x28="SRA B"                       t="8"
0x29="SRA C"                       t="8"
0x2a="SRA D"                       t="8"
0x2b="SRA E"                       t="8"
0x2c="SRA H"                       t="8"
0x2d="SRA L"                       t="8"
0x2e="SRA (HL)"                    t="15"   rd="8"   wr="12"
0x2f="SRA A"                       t="8"
0x30="SLL B"                       t="8"
0x31="SLL C"                       t="8"
0x32="SLL D"                       t="8"
0x33="SLL E"                       t="8"
0x34="SLL H"                       t="8"
0x35="SLL L"                       t="8"
0x36="SLL (HL)"                    t="15"   rd="8"   wr="12"
0x37="SLL A"                       t="8"
0x38="SRL B"                       t="8"
0x39="SRL C"                       t="8"
0x3a="SRL D"                       t="8"
0x3b="SRL E"                       t="8"
0x3c="SRL H"                       t="8"
0x3d="SRL L"                       t="8"
0x3e="SRL (HL)"                    t="15"   rd="8"   wr="12"
0x3f="SRL A"                       t="8"
0x40="BIT 0,B"                     t="8"
0x41="BIT 0,C"                     t="8"
0x42="BIT 0,D"                     t="8"
0x43="BIT 0,E"                     t="8"
0x44="BIT 0,H"                     t="8"
0x45="BIT 0,L"                     t="8"
0x46="BIT 0,(HL)"                  t="12"   rd="8"
0x47="BIT 0,A"                     t="8"
0x48="BIT 1,B"                     t="8"
0x49="BIT 1,C"                     t="8"
0x4a="BIT 1,D"                     t="8"
0x4b="BIT 1,E"                     t="8"
0x4c="BIT 1,H"                     t="8"
0x4d="BIT 1,L"                     t="8"
0x4e="BIT 1,(HL)"                  t="12"   rd="8"
0x4f="BIT 1,A"                     t="8"
0x50="BIT 2,B"                     t="8"
0x51="BIT 2,C"                     t="8"
0x52="BIT 2,D"                     t="8"
0x53="BIT 2,E"                     t="8"
0x54="BIT 2,H"                     t="8"
0x55="BIT 2,L"                     t="8"
0x56="BIT 2,(HL)"                  t="12"   rd="8"
0x57="BIT 2,A"                     t="8"
0x58="BIT 3,B"                     t="8"
0x59="BIT 3,C"                     t="8"
0x5a="BIT 3,D"                     t="8"
0x5b="BIT 3,E"                     t="8"
0x5c="BIT 3,H"                     t="8"
0x5d="BIT 3,L"                     t="8"
0x5e="BIT 3,(HL)"                  t="12"   rd="8"
0x5f="BIT 3,A"                     t="8"
0x60="BIT 4,B"                     t="8"
0x61="BIT 4,C"                     t="8"
0x62="BIT 4,D"                     t="8"
0x63="BIT 4,E"                     t="8"
0x64="BIT 4,H"                     t="8"
0x65="BIT 4,L"                     t="8"
0x66="BIT 4,(HL)"                  t="12"   rd="8"
0x67="BIT 4,A"                     t="8"
0x68="BIT 5,B"                     t="8"
0x69="BIT 5,C"                     t="8"
0x6a="BIT 5,D"                     t="8"
0x6b="BIT 5,E"                     t="8"
0x6c="BIT 5,H"                     t="8"
0x6d="BIT 5,L"                     t="8"
0x6e="BIT 5,(HL)"                  t="12"   rd="8"
0x6f="BIT 5,A"                     t="8"
0x70="BIT 6,B"                     t="8"
0x71="BIT 6,C"                     t="8"
0x72="BIT 6,D"                     t="8"
0x73="BIT 6,E"                     t="8"
0x74="BIT 6,H"                     t="8"
0x75="BIT 6,L"                     t="8"
0x76="BIT 6,(HL)"                  t="12"   rd="8"
0x77="BIT 6,A"                     t="8"
0x78="BIT 7,B"                     t="8"
